iter	Passed	Remaining
1170	3242	7003
1171	3245	7000
1172	3248	6997
1173	3250	6993
1174	3252	6990
1175	3255	6986
1176	3258	6984
1177	3260	6981
1178	3263	6978
1179	3265	6974
1180	3268	6970
1181	3270	6967
1182	3273	6964
1183	3276	6961
1184	3278	6959
1185	3281	6956
1186	3284	6954
1187	3287	6950
1188	3289	6947
1189	3292	6943
1190	3294	6940
1191	3296	6936
1192	3299	6933
1193	3301	6929
1194	3303	6925
1195	3306	6922
1196	3308	6918
1197	3311	6915
1198	3313	6911
1199	3315	6908
1200	3318	6904
1201	3321	6902
1202	3324	6899
1203	3326	6896
1204	3329	6894
1205	3332	6891
1206	3335	6889
1207	3338	6886
1208	3340	6883
1209	3343	6880
1210	3346	6878
1211	3349	6875
1212	3353	6875
1213	3355	6872
1214	3358	6868
1215	3360	6865
1216	3363	6862
1217	3366	6859
1218	3368	6856
1219	3371	6854
1220	3374	6851
1221	3377	6849
1222	3380	6846
1223	3382	6843
1224	3386	6841
1225	3388	6838
1226	3391	6835
1227	3394	6832
1228	3396	6829
1229	3399	6826
1230	3401	6822
1231	3404	6819
1232	3406	6816
1233	3409	6812
1234	3411	6809
1235	3414	6806
1236	3417	6803
1237	3419	6800
1238	3422	6797
1239	3425	6795
1240	3428	6792
1241	3432	6792
1242	3435	6789
1243	3437	6786
1244	3440	6783
1245	3442	6780
1246	3445	6777
1247	3448	6774
1248	3450	6771
1249	3453	6768
1250	3456	6765
1251	3458	6762
1252	3461	6759
1253	3463	6756
1254	3466	6753
1255	3468	6750
1256	3471	6747
1257	3474	6744
1258	3477	6742
1259	3480	6740
1260	3483	6737
1261	3486	6735
1262	3488	6732
1263	3491	6729
1264	3494	6726
1265	3496	6722
1266	3499	6719
1267	3501	6716
1268	3504	6713
1269	3507	6710
1270	3509	6707
1271	3512	6704
1272	3515	6701
1273	3518	6699
1274	3521	6696
1275	3524	6694
1276	3527	6692
1277	3530	6690
1278	3533	6688
1279	3536	6685
1280	3538	6682
1281	3541	6679
1282	3544	6676
1283	3546	6673
1284	3549	6671
1285	3552	6668
1286	3555	6665
1287	3557	6662
1288	3560	6660
1289	3563	6657
1290	3566	6654
1291	3568	6651
1292	3571	6648
1293	3574	6645
1294	3576	6642
1295	3579	6640
1296	3583	6638
1297	3585	6635
1298	3589	6633
1299	3591	6630
1300	3594	6627
1301	3597	6625
1302	3599	6622
1303	3602	6619
1304	3605	6616
1305	3608	6615
1306	3611	6611
1307	3613	6608
1308	3616	6605
1309	3618	6601
1310	3620	6598
1311	3623	6595
1312	3626	6592
1313	3629	6589
1314	3632	6587
1315	3634	6584
1316	3637	6581
1317	3639	6577
1318	3642	6574
1319	3644	6571
1320	3647	6568
1321	3650	6565
1322	3652	6562
1323	3655	6559
1324	3658	6557
1325	3661	6554
1326	3663	6552
1327	3666	6549
1328	3669	6547
1329	3672	6544
1330	3675	6541
1331	3678	6539
1332	3680	6536
1333	3683	6533
1334	3686	6530
1335	3688	6527
1336	3691	6524
1337	3694	6521
1338	3696	6518
1339	3699	6515
1340	3702	6512
1341	3704	6509
1342	3707	6506
1343	3710	6504
1344	3713	6501
1345	3716	6498
1346	3718	6496
1347	3721	6492
1348	3724	6490
1349	3726	6487
1350	3729	6485
1351	3732	6482
1352	3735	6479
1353	3737	6476
1354	3740	6473
1355	3743	6470
1356	3745	6467
1357	3749	6465
1358	3752	6463
1359	3754	6460
1360	3757	6457
1361	3760	6454
1362	3762	6451
1363	3765	6448
1364	3768	6445
1365	3770	6443
1366	3773	6440
1367	3776	6437
1368	3778	6434
1369	3781	6431
1370	3783	6428
1371	3786	6425
1372	3789	6422
1373	3792	6419
1374	3794	6416
1375	3797	6413
1376	3800	6411
1377	3803	6408
1378	3805	6405
1379	3808	6402
1380	3812	6402
1381	3815	6399
1382	3817	6396
1383	3820	6392
1384	3822	6389
1385	3825	6386
1386	3827	6383
1387	3829	6379
1388	3832	6376
1389	3834	6372
1390	3837	6369
1391	3839	6366
1392	3841	6362
1393	3844	6359
1394	3846	6356
1395	3849	6352
1396	3851	6349
1397	3855	6348
1398	3858	6345
1399	3860	6342
1400	3863	6339
1401	3866	6337
1402	3868	6334
1403	3871	6331
1404	3874	6328
1405	3876	6325
1406	3879	6321
1407	3881	6318
1408	3884	6315
1409	3886	6312
1410	3890	6311
1411	3892	6308
1412	3895	6304
1413	3897	6301
1414	3900	6298
1415	3903	6295
1416	3906	6293
1417	3909	6290
1418	3911	6288
1419	3914	6285
1420	3917	6282
1421	3920	6279
1422	3924	6280
1423	3927	6277
1424	3929	6274
1425	3932	6271
1426	3935	6268
1427	3938	6266
1428	3941	6263
1429	3944	6261
1430	3946	6258
