iter	Logloss
2084	0.2688835861
2085	0.2688289188
2086	0.2687829191
2087	0.268716714
2088	0.268683633
2089	0.2686197071
2090	0.2685769833
2091	0.2685459054
2092	0.2685116386
2093	0.2684821519
2094	0.2684560866
2095	0.268427506
2096	0.26838142
2097	0.2683410218
2098	0.2682790707
2099	0.2682522101
2100	0.2682116673
2101	0.2681639917
2102	0.2681342676
2103	0.2680516192
2104	0.2680098785
2105	0.267992011
2106	0.2679268475
2107	0.2678992786
2108	0.2678101031
2109	0.2677920284
2110	0.2676751786
2111	0.2676589319
2112	0.2676156469
2113	0.2675631356
2114	0.2674957
2115	0.2674558945
2116	0.2673920589
2117	0.2673306394
2118	0.2672837269
2119	0.2672399139
2120	0.2672292401
2121	0.2671763962
2122	0.2671563158
2123	0.267074543
2124	0.2670360659
2125	0.2669790942
2126	0.2669430619
2127	0.266892541
2128	0.2667970308
2129	0.2667650683
2130	0.2666978274
2131	0.2666507941
2132	0.2666174746
2133	0.2665891314
2134	0.2665616507
2135	0.2665156227
2136	0.2664870503
2137	0.2664074936
2138	0.2663316341
2139	0.2663036486
2140	0.2662847189
2141	0.2662634265
2142	0.2661933088
2143	0.266119064
2144	0.2660866332
2145	0.2660687042
2146	0.2660225341
2147	0.2659488782
2148	0.2658927962
2149	0.2658015051
2150	0.2657681292
2151	0.2656820632
2152	0.2656570298
2153	0.2656163388
2154	0.2655560701
2155	0.2655356043
2156	0.2654559836
2157	0.265389731
2158	0.2653304584
2159	0.2652821021
2160	0.2652057313
2161	0.2651745938
2162	0.2651372069
2163	0.2650897643
2164	0.2650547042
2165	0.2650031632
2166	0.2649825812
2167	0.2649482581
2168	0.2649066485
2169	0.2648822637
2170	0.2648377987
2171	0.2648176305
2172	0.2647802454
2173	0.2647320656
2174	0.2646653432
2175	0.2645701626
2176	0.2645307625
2177	0.2645108017
2178	0.2644644485
2179	0.264434129
2180	0.2643445488
2181	0.2643082824
2182	0.264236249
2183	0.2641943462
2184	0.2641520611
2185	0.264125171
2186	0.2641068908
2187	0.2640738052
2188	0.2640470912
2189	0.2640069317
2190	0.2639248115
2191	0.2638895797
2192	0.2638603889
2193	0.2638208585
2194	0.2637887764
2195	0.2637509158
2196	0.263714973
2197	0.2636866667
2198	0.2636651144
2199	0.2635953576
2200	0.2635538982
2201	0.2634088581
2202	0.263379401
2203	0.2632966348
2204	0.2632856939
2205	0.2632476868
2206	0.263182735
2207	0.2631569635
2208	0.2630974515
2209	0.2630715042
2210	0.2630386544
2211	0.2629806258
2212	0.2629315026
2213	0.2628875385
2214	0.2628125281
2215	0.2627844273
2216	0.2626857083
2217	0.2626358412
2218	0.2626006631
2219	0.2625657226
2220	0.2625529259
2221	0.2625125573
2222	0.2624261134
2223	0.2623624468
2224	0.2623173336
2225	0.262256115
2226	0.2622004739
2227	0.2621433592
2228	0.2620628009
2229	0.2620225823
2230	0.2619323563
2231	0.2618680184
2232	0.2618296862
2233	0.2618042688
2234	0.2617752547
2235	0.2617380724
2236	0.261695826
2237	0.2616243821
2238	0.2616014717
2239	0.2615721353
2240	0.2615031621
2241	0.2614040621
2242	0.2613808864
2243	0.2613522235
2244	0.2612759148
2245	0.2611997819
2246	0.2611504773
2247	0.2610907975
2248	0.2610574492
2249	0.2610201507
2250	0.2609970339
2251	0.2609657854
2252	0.2609225585
2253	0.2608588696
2254	0.2607896363
2255	0.2607048042
2256	0.2606437404
2257	0.2606068859
2258	0.2605764272
2259	0.2605289546
2260	0.2605017097
2261	0.260480421
2262	0.2604499285
2263	0.2604185852
2264	0.2603762153
2265	0.2602843056
2266	0.260251104
2267	0.2602068468
2268	0.260164063
2269	0.2601096325
2270	0.2600423105
2271	0.2599955749
2272	0.2599184688
2273	0.2598575202
2274	0.2597928295
2275	0.2597782334
2276	0.2597106237
2277	0.2596742678
2278	0.2596418013
2279	0.2596058877
2280	0.2595833036
2281	0.2595026319
2282	0.2594597025
2283	0.2593734837
2284	0.2593513398
2285	0.2593102073
2286	0.2592585504
2287	0.259226881
2288	0.2592061194
2289	0.2591427851
2290	0.2590693605
2291	0.2590195297
2292	0.2589760052
2293	0.2589291818
2294	0.2588953325
2295	0.2588149544
2296	0.2587608777
2297	0.2587351369
2298	0.2586596224
2299	0.2586388644
2300	0.258549511
2301	0.2585191408
2302	0.2584890653
2303	0.2584525032
2304	0.2583858056
2305	0.2583377395
2306	0.2582983485
2307	0.2582521758
2308	0.2582333353
2309	0.258120491
2310	0.2580853764
2311	0.2580297074
2312	0.2579862125
2313	0.2579242879
2314	0.2578916178
2315	0.2578815329
2316	0.2578427878
2317	0.257784197
2318	0.2577169575
2319	0.2576825479
2320	0.2576540951
2321	0.257580158
2322	0.2575159392
2323	0.2574795835
2324	0.2574484467
2325	0.2574227942
2326	0.2573871763
2327	0.2573254325
2328	0.2572876007
2329	0.2572062504
2330	0.2571422925
2331	0.2571275201
2332	0.2570901324
2333	0.2569888455
2334	0.2569530785
2335	0.2569108685
2336	0.2568702668
2337	0.2568390406
2338	0.2567793615
2339	0.2566608009
2340	0.2566133582
2341	0.2565704308
2342	0.2565342217
2343	0.2564941827
2344	0.2564484513
2345	0.2564208224
2346	0.2563913959
2347	0.2563377335
2348	0.2562782271
2349	0.2562436117
2350	0.256206106
2351	0.2561505074
2352	0.2560888528
2353	0.2560599882
2354	0.2560190871
2355	0.255965649
2356	0.2559371043
2357	0.255866043
2358	0.2558066443
2359	0.2557750947
2360	0.2557140049
2361	0.2556628472
2362	0.2556299781
2363	0.255601141
2364	0.2555435243
2365	0.255495316
2366	0.2554597114
2367	0.2553920964
2368	0.2553218053
2369	0.2552936465
2370	0.2552542526
2371	0.2551932818
2372	0.2551561297
2373	0.2551321267
2374	0.2550695868
2375	0.2550246811
2376	0.2549828711
2377	0.2549079823
2378	0.2548825066
2379	0.254858859
2380	0.25482607
2381	0.2548066389
2382	0.2547519414
2383	0.2547300336
2384	0.2547024607
2385	0.2546501236
2386	0.2546242683
2387	0.2545830473
2388	0.2545514977
2389	0.2545244291
2390	0.2544638333
2391	0.2544145316
2392	0.2543725742
2393	0.2543485426
2394	0.2543047803
2395	0.2542465649
2396	0.2541561029
2397	0.2540834207
2398	0.2540253304
2399	0.2539818095
2400	0.2539120373
2401	0.2538404177
2402	0.2538044128
2403	0.2537586039
2404	0.2537322428
2405	0.2536820315
2406	0.2536424296
2407	0.2535954
2408	0.2535619641
2409	0.2535155832
2410	0.2534799055
2411	0.2534596801
2412	0.2534334387
2413	0.2533514642
2414	0.2533044068
2415	0.2532876608
2416	0.2532434323
2417	0.2532011462
2418	0.2531371615
2419	0.2531104475
2420	0.2530715104
2421	0.253006903
2422	0.2529840229
2423	0.2528877708
2424	0.2528370554
2425	0.252819061
2426	0.2528016636
2427	0.2527192853
2428	0.2526602899
2429	0.2525881249
2430	0.2525435427
2431	0.2524857524
2432	0.2524231159
2433	0.2523638202
2434	0.2522992916
2435	0.2522674977
2436	0.2522086629
2437	0.2521617799
